u0023_20e3	keycap: #
u1f3ca_1f3fd_200d_2642	man swimming: medium skin tone
u1f3ca_1f3fe	person swimming: medium-dark skin tone
u1f3ca_1f3fe_200d_2640	woman swimming: medium-dark skin tone
u1f3ca_1f3fe_200d_2642	man swimming: medium-dark skin tone
u1f3ca_1f3ff	person swimming: dark skin tone
u1f3ca_1f3ff_200d_2640	woman swimming: dark skin tone
u1f3ca_1f3ff_200d_2642	man swimming: dark skin tone
u1f3ca_200d_2640	woman swimming
u1f3ca_200d_2642	man swimming
u1f3cb	person lifting weights
u1f3cb_1f3fb	person lifting weights: light skin tone
u1f3cb_1f3fb_200d_2640	woman lifting weights: light skin tone
u1f3cb_1f3fb_200d_2642	man lifting weights: light skin tone
u1f3cb_1f3fc	person lifting weights: medium-light skin tone
u1f3cb_1f3fc_200d_2640	woman lifting weights: medium-light skin tone
u1f3cb_1f3fc_200d_2642	man lifting weights: medium-light skin tone
u1f3cb_1f3fd	person lifting weights: medium skin tone
u1f3cb_1f3fd_200d_2640	woman lifting weights: medium skin tone
u1f3cb_1f3fd_200d_2642	man lifting weights: medium skin tone
u1f3cb_1f3fe	person lifting weights: medium-dark skin tone
u1f3cb_1f3fe_200d_2640	woman lifting weights: medium-dark skin tone
u1f3cb_1f3fe_200d_2642	man lifting weights: medium-dark skin tone
u1f3cb_1f3ff	person lifting weights: dark skin tone
u1f3cb_1f3ff_200d_2640	woman lifting weights: dark skin tone
u1f3cb_1f3ff_200d_2642	man lifting weights: dark skin tone
u1f3cb_200d_2640	woman lifting weights
u1f3cb_200d_2642	man lifting weights
u1f3cc	person golfing
u1f3cc_1f3fb	person golfing: light skin tone
u1f3cc_1f3fb_200d_2640	woman golfing: light skin tone
u1f3cc_1f3fb_200d_2642	man golfing: light skin tone
u1f3cc_1f3fc	person golfing: medium-light skin tone
u1f3cc_1f3fc_200d_2640	woman golfing: medium-light skin tone
u1f3cc_1f3fc_200d_2642	man golfing: medium-light skin tone
u1f3cc_1f3fd	person golfing: medium skin tone
u1f3cc_1f3fd_200d_2640	woman golfing: medium skin tone
u1f3cc_1f3fd_200d_2642	man golfing: medium skin tone
u1f3cc_1f3fe	person golfing: medium-dark skin tone
u1f3cc_1f3fe_200d_2640	woman golfing: medium-dark skin tone
u1f3cc_1f3fe_200d_2642	man golfing: medium-dark skin tone
u1f3cc_1f3ff	person golfing: dark skin tone
u1f3cc_1f3ff_200d_2640	woman golfing: dark skin tone
u1f3cc_1f3ff_200d_2642	man golfing: dark skin tone
u1f3cc_200d_2640	woman golfing
u1f3cc_200d_2642	man golfing
u1f3cd	motorcycle
u1f3ce	racing car
u1f3cf	cricket game
u1f3d0	volleyball
u1f3d1	field hockey
u1f3d2	ice hockey
u1f3d3	ping pong
u1f3d4	snow-capped mountain
u1f3d5	camping
u1f3d6	beach with umbrella
u1f3d7	building construction
u1f3d8	houses
u1f3d9	cityscape
u1f3da	derelict house
u1f3db	classical building
u1f3dc	desert
u1f3dd	desert island
u1f3de	national park
u1f3df	stadium
u1f3e0	house
u1f3e1	house with garden
u1f3e2	office building
u1f3e3	Japanese post office
u1f3e4	post office
u1f3e5	hospital
u1f3e6	bank
u1f3e7	ATM sign
u1f3e8	hotel
u1f3e9	love hotel
u1f3ea	convenience store
u1f3eb	school
u1f3ec	department store
u1f3ed	factory
u1f3ee	red paper lantern
u1f3ef	Japanese castle
u1f3f0	castle
u1f3f3	white flag
u1f3f3_200d_1f308	rainbow flag
u1f3f4	black flag
u1f3f4_200d_2620	pirate flag
u1f3f4_e0067_e0062_e0065_e006e_e0067_e007f	flag: England
u1f3f4_e0067_e0062_e0073_e0063_e0074_e007f	flag: Scotland
u1f3f4_e0067_e0062_e0077_e006c_e0073_e007f	flag: Wales
u1f3f5	rosette
u1f3f7	label
u1f3f8	badminton
u1f3f9	bow and arrow
u1f3fa	amphora
u1f3fb	light skin tone
u1f3fc	medium-light skin tone
u1f3fd	medium skin tone
u1f3fe	medium-dark skin tone
u1f3ff	dark skin tone
u1f400	rat
u1f401	mouse
u1f402	ox
u1f403	water buffalo
u1f404	cow
u1f405	tiger
u1f406	leopard
u1f407	rabbit
u1f408	cat
u1f409	dragon
u1f40a	crocodile
u1f40b	whale
u1f40c	snail
u1f40d	snake
u1f40e	horse
u1f40f	ram
u1f410	goat
u1f411	ewe
u1f412	monkey
u1f413	rooster
u1f414	chicken
u1f415	dog
u1f415_200d_1f9ba	service dog
u1f416	pig
u1f417	boar
u1f418	elephant
u1f419	octopus
u1f41a	spiral shell
u1f41b	bug
u1f41c	ant
u1f41d	honeybee
u1f41e	lady beetle
u1f41f	fish
u1f420	tropical fish
u1f421	blowfish
u1f422	turtle
u1f423	hatching chick
u1f424	baby chick
u1f425	front-facing baby chick
u1f426	bird
u1f427	penguin
u1f428	koala
u1f429	poodle
u1f42a	camel
u1f42b	two-hump camel
u1f42c	dolphin
u1f42d	mouse face
u1f42e	cow face
u1f42f	tiger face
u1f430	rabbit face
u1f431	cat face
u1f432	dragon face
u1f433	spouting whale
u1f434	horse face
u1f435	monkey face
u1f436	dog face
u1f437	pig face
u1f438	frog
u1f439	hamster
u1f43a	wolf
u1f43b	bear
u1f43c	panda
u1f43d	pig nose
u1f43e	paw prints
u1f43f	chipmunk
u1f440	eyes
u1f441	eye
u1f441_200d_1f5e8	eye in speech bubble
u1f442	ear
u1f442_1f3fb	ear: light skin tone
u1f442_1f3fc	ear: medium-light skin tone
u1f442_1f3fd	ear: medium skin tone
u1f442_1f3fe	ear: medium-dark skin tone
u1f442_1f3ff	ear: dark skin tone
u1f443	nose
u1f443_1f3fb	nose: light skin tone
u1f443_1f3fc	nose: medium-light skin tone
u1f443_1f3fd	nose: medium skin tone
u1f443_1f3fe	nose: medium-dark skin tone
u1f443_1f3ff	nose: dark skin tone
u1f444	mouth
u1f445	tongue
u1f446	backhand index pointing up
u1f446_1f3fb	backhand index pointing up: light skin tone
u1f446_1f3fc	backhand index pointing up: medium-light skin tone
u1f446_1f3fd	backhand index pointing up: medium skin tone
u1f446_1f3fe	backhand index pointing up: medium-dark skin tone
u1f446_1f3ff	backhand index pointing up: dark skin tone
u1f447	backhand index pointing down
u1f447_1f3fb	backhand index pointing down: light skin tone
u1f447_1f3fc	backhand index pointing down: medium-light skin tone
u1f447_1f3fd	backhand index pointing down: medium skin tone
u1f447_1f3fe	backhand index pointing down: medium-dark skin tone
u1f447_1f3ff	backhand index pointing down: dark skin tone
u1f448	backhand index pointing left
u1f448_1f3fb	backhand index pointing left: light skin tone
u1f448_1f3fc	backhand index pointing left: medium-light skin tone
u1f448_1f3fd	backhand index pointing left: medium skin tone
u1f448_1f3fe	backhand index pointing left: medium-dark skin tone
u1f448_1f3ff	backhand index pointing left: dark skin tone
u1f449	backhand index pointing right
u1f449_1f3fb	backhand index pointing right: light skin tone
u1f449_1f3fc	backhand index pointing right: medium-light skin tone
u1f449_1f3fd	backhand index pointing right: medium skin tone
u1f449_1f3fe	backhand index pointing right: medium-dark skin tone
u1f449_1f3ff	backhand index pointing right: dark skin tone
u1f44a	oncoming fist
u1f44a_1f3fb	oncoming fist: light skin tone
u1f44a_1f3fc	oncoming fist: medium-light skin tone
u1f44a_1f3fd	oncoming fist: medium skin tone
u1f44a_1f3fe	oncoming fist: medium-dark skin tone
u1f44a_1f3ff	oncoming fist: dark skin tone
u1f44b	waving hand
u1f44b_1f3fb	waving hand: light skin tone
u1f44b_1f3fc	waving hand: medium-light skin tone
u1f44b_1f3fd	waving hand: medium skin tone
